微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IB7IppuBe,距离 #罗永浩直播带货# 首秀，还有 1 天。  原图 ,http://wx2.sinaimg.cn/large/61c921e5ly1gdcvgqgns2j20u01hcgup.jpg,无,无,2020-03-31 10:00,微博 weibo.com,2124,154,271
IB2t072Hz,#挑战玲爷# @Mr玲爷 你能比我更会“吹牛”么？如果你挑战成功，4 月 1 日晚 8 点的直播我就把胡子刮了。#罗永浩直播带货#  罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/LFklyLa8lx07C6SiBLos010412008gLz0E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586165347&ssig=leWyRgUKav&KID=unistore,video",无,2020-03-30 20:38,财经 · 视频社区,13062,1305,1337
IAZ3zxpqP,1.不是，是直接发的红包。2.丢雷楼牟，已拉黑。  原图 ,http://wx3.sinaimg.cn/large/61c921e5ly1gdbtfr754ej20u006mt8x.jpg,无,无,2020-03-30 11:57,坚果手机 R1,3754,121,470
IAYmDqoT6,4 月 1 日晚 8 点，海量红包等你来抢。#罗永浩直播带货#  罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/q7ha1lWZlx07C6bgtJAk010412006C760E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1586165348&ssig=e13c4KDZ9l&KID=unistore,video",无,2020-03-30 10:11,微博视频,4560,1106,584
IAYjr8q25,距离 #罗永浩直播带货# 首秀，还有 2 天。  原图 ,http://wx4.sinaimg.cn/large/61c921e5ly1gdbq6aj9nej20u01hcwnh.jpg,无,无,2020-03-30 10:03,微博 weibo.com,1234,120,239
IAOVtc3WD,为粉丝砍价的过程中究竟发生了什么……#罗永浩直播带货# 罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/l5zEbbVWlx07C4zevf1S010412008jLy0E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586165368&ssig=M6s48IZ4xV&KID=unistore,video",无,2020-03-29 10:10,科技 · 视频社区,25008,6876,2429
IAORq2tJn,距离 #罗永浩直播带货# 首秀，还有 3 天。  原图 ,http://wx4.sinaimg.cn/large/61c921e5ly1gdak4h3fq5j20u01hc47i.jpg,无,无,2020-03-29 10:00,微博 weibo.com,1240,149,224
IAOwTBYU9,Concrete Blonde《Someday?-Concrete Blonde》 Someday?-Concrete Blonde  ,无,无,无,2020-03-29 09:09,微博 weibo.com,591,42,77
IAO9XbHz8,失望？怎么会，我在想各种办法赚钱还债啊，做主播赚的又不是脏钱。我对自己很佩服，不想还好，一想就肃然起敬想求签名那种...当然，有些对我失望的我也理解。我这一路走过来，都是按自己兴趣或责任需求选择行业，从来不会在这些选择上考虑“粉丝”感受...要不然怎么能一红红十七年呢？有些人认为网红主播没有手机公司老板牛x，手机公司老板没有愤青知识分子牛x，这些都是他们主观的感受，跟我没关系，也无关是非。不要难过，我还年轻，充满无限...好吧，也没那么无限啦，反正还有很多很多可能性。但重要的不是我将来能不能又做出让你佩服的事，而是你要有自己的...你懂的。                  原图                             ,http://wx1.sinaimg.cn/large/61c921e5ly1gdag2uaoglj21bi062dgs.jpg,无,无,2020-03-29 08:12,微博 weibo.com,43332,4570,1856
IAFuYDWOI,那天夜里究竟发生了什么……#罗永浩直播带货# 罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/CanR1Ozalx07C2XTLHII010412008sFJ0E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586165371&ssig=UF94x1tjZT&KID=unistore,video",无,2020-03-28 10:10,日常 · 视频社区,12892,3754,1897
IAFqVcA9W,距离 #罗永浩直播带货# 首秀，还有 4 天。  原图 ,http://wx3.sinaimg.cn/large/61c921e5ly1gd9ehvdbgqj20u01hckjm.jpg,无,无,2020-03-28 10:00,微博 weibo.com,913,99,177
IAyc4DH1R,『直播带货，罗永浩的抖音野望』直播带货，罗永浩的抖音野望  ,无,无,无,2020-03-27 15:34,坚果手机 R1,1146,129,124
IAwaHr831,我将于 4 月 1 日晚 8 点在抖音示范直播带货。如果你也有什么新奇特的好东西，欢迎前往抖音 App 带话题 #罗永浩请卖它# 推荐给我，说不定你推荐的商品就会在这次直播中出现。  罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/DfvzqUuklx07C1px0YsM010412002Kuw0E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586165376&ssig=dRBQeS5BW6&KID=unistore,video",无,2020-03-27 10:25,微博视频,3444,595,642
IAw8E5MSq,距离 #罗永浩直播带货# 首秀，还有 5 天。  原图 ,http://wx3.sinaimg.cn/large/61c921e5ly1gd8t0qhs2xj20u01hc4qp.jpg,无,无,2020-03-27 10:20,微博 weibo.com,1368,282,266
IAw66B07o,4 月 1 日晚 8 点，#罗永浩直播带货# “就看咱们有多努力了”。  罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/ATohw8KMlx07C1oKRPS8010412003Fpc0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1586165376&ssig=wKPHagZSKp&KID=unistore,video",无,2020-03-27 10:14,微博视频,5190,1464,769
IAw0qmy5t,作为硕果仅存的中国第一代网红，我将于 4 月 1 日晚 8 点示范直播带货。我们准备了很多好东西…基本上不赚你什么钱，就是交个朋友。看到日历，你会觉得这是愚人节，看到东西，你会觉得这不是愚人节，看到价格，你又会觉得这是愚人节，最后你会觉得...这TM到底是不是愚人节？ #罗永浩直播带货#  原图 ,http://wx3.sinaimg.cn/large/61c921e5ly1gd88yutgijj20u01hc450.jpg,无,无,2020-03-27 10:00,微博 weibo.com,26636,6603,3108
IAliJkZwx,假消息。不认识，没合作。  原图 ,http://wx1.sinaimg.cn/large/61c921e5ly1gd6xxvtggfj20m80ky3zi.jpg,无,无,2020-03-26 06:44,坚果手机 R1,37182,18238,1010
IzQ4tdjYi,“这是老罗输不起的最后一战了”；“做直播电商，意味着老罗压箱底的功夫都使出来了，年近半百的他是死是活，就在此一役了”；“如果没有意外，T2（坚果1/M1/坚果Pro1/坚果Pro2/R1/TNT/坚果Pro2S/小野）应该是老罗最后一次的机会了”……唉，冠状病毒一阵子就过去了，但精神病是一辈子的事儿。  ,无,无,无,2020-03-22 23:14,坚果手机 R1,9262,464,1298
IzMUqbTCe,三斤屎，三瓶妇炎洁......没想到公布今年的创业计划，竟然导致了一些古怪的饮食文化活动，希望不要成为风气...... 嗯，玉龙，你要记住，影响力越大，责任越大，以后做事要更加地小心啊。  [组图共2张] 原图 ,"http://ww1.sinaimg.cn/large/61c921e5ly1gd2pz8jio2j20u0150dzb.jpg,http://ww2.sinaimg.cn/large/61c921e5ly1gd2pz8kkpqj20vz0u0b29.jpg",无,无,2020-03-22 15:11,微博 weibo.com,4478,322,702
IzFJYn7ik,我只会带好货，贱货完全带不动，请谅解。  原图 ,http://wx1.sinaimg.cn/large/61c921e5ly1gd1ug647p4j20sn05cgmy.jpg,无,无,2020-03-21 20:56,微博 weibo.com,17853,959,1310
IzlFPjVK4,http://t.cn/A6zQnqRB  原图 ,http://wx4.sinaimg.cn/large/61c921e5ly1gczdvgunysj20u008btb1.jpg,无,无,2020-03-19 17:51,坚果手机 R1,1520,117,278
Izl3s390l,看了招商证券那份著名的调研报告之后，我决定做电商直播了。虽然我不适合卖口红，但相信能在很多商品的品类里做到带货一哥。欢迎各种优质商品的厂商跟我们的商务团队联系 luoyonghao2020@outlook.com 顺便也提醒大家提前存好钱等着吓一跳。  原图 ,http://wx2.sinaimg.cn/large/61c921e5ly1gczb57zn2bj20ri1dtthy.jpg,无,无,2020-03-19 16:17,坚果手机 R1,30703,39911,8614
IziAnEOkf,有些反应奇特的人问，默克尔为什么不能提“二战以来最大的挑战”？嗯，没说不能提，只是……只是…这确实tmd有点怪怪的，这么说吧，这大致相当于你爷爷当年突然抽疯，领着一群家族内的流氓子弟，到处杀人放火，把村里老王家的祖坟刨了，把老李家的女人强奸了，把老张家的钱抢光了，后来三家联合起来把你爷爷和参与干坏事儿的坏逼都抓起来干死了这事儿才消停。多年以后，你们家出了事儿，你公开说，这是当年我爷爷杀人放火以来，我们家族遭遇的最大挑战……这种话不是不能说，你也不是那个意思，但是表达方式憨批成这个样子，“你让乡亲们怎么想？”             [组图共9张]      原图                             ,"http://ww1.sinaimg.cn/large/61c921e5gy1gcyzuj3hocj20oo0fuwj9.jpg,http://ww3.sinaimg.cn/large/61c921e5gy1gcz00538pxj20u00iydm0.jpg,http://ww3.sinaimg.cn/large/61c921e5gy1gcz0073vo4j20u00j5ag9.jpg,http://ww4.sinaimg.cn/large/61c921e5gy1gcz00b1d5mj20u00j1tew.jpg,http://ww3.sinaimg.cn/large/61c921e5gy1gcz00e15yqj20u00iwwkn.jpg,http://ww3.sinaimg.cn/large/61c921e5gy1gcz00hajuhj20u00j0n3c.jpg,http://ww4.sinaimg.cn/large/61c921e5gy1gcz00ka3fej20u00j1tew.jpg,http://ww2.sinaimg.cn/large/61c921e5gy1gcz00nbei3j20u00j30yx.jpg,http://ww4.sinaimg.cn/large/61c921e5gy1gcz00pza5vj20u00j1q94.jpg",无,无,2020-03-19 09:59,坚果手机 R1,1614,258,406
Iz1ijs5tt,1.不建议疫情国的中国人这时候回国：路上挤在机舱里危险，落地后集中隔离危险，人太多得不到及时妥善安置也危险，总之，在所在地自行隔离，理论上更安全。2.由于种种原因，还是要回国的，当然也没有任何错。中国人要回中国，天经地义。何况有些人也是不得不回国，比如我有个朋友想等疫情平息再回国，但三个月旅行签证期满，不想回来也得被赶回来。3.华侨是国外定居的中国人，和我们有一样的权利和义务，想回国就回国，不需要任何笨蛋同意或不同意。4.遵守法令法规的前提下，哪儿安全往哪儿跑，没有任何错，任何人都不应该因此收到指责。5.疫情时期，拒绝外国人（包括已入外国国籍的华裔外国人）入境，没有任何问题。不要扯什么“大家都是中国人”之类的屁话，不是。也不要因此对入籍外国的原中国人冷嘲热讽，阴阳怪气，心态健康一点不会死人。对了，之前中国疫情严重时，骂外国不许中国人入境的，这时候可以反省一下。6.个别归国人员不服从非常时期的防疫法规条例的，具体案例具体讨论就好，不要因此攻击归国人员整体。7.让这么多疫情国回来的人拥挤滞留机场，甚至要在机场过夜，显然是机场的预案和部署有问题。长时间滞留难免有情绪，个别人说些不中听的蠢话（比如“我们欧洲回来的就这待遇？”之类的）也不奇怪。非常时期，媒体不应该拿这些个例挑动公众情绪，激化“人民内部矛盾”。             [组图共2张]      原图                             ,"http://ww2.sinaimg.cn/large/61c921e5ly1gcwvx1eu6dj218q09uwh8.jpg,http://ww1.sinaimg.cn/large/61c921e5ly1gcwvx1eld5j219k06o3zm.jpg",无,无,2020-03-17 13:58,微博 weibo.com,50548,9720,1611
Iz10Irncb,让这么多疫情国回来的人挤在一起，甚至要在机场过夜，说明北京机场事先的预案和部署多半是有问题的。这么多滞留的乘客，难免有个别人说一些不中听的蠢话，比如“我欧洲回来的就这待遇？”之类的，媒体不应该拿这些挑动公众情绪，非常时期，建议做点人事儿，免得将来生个孩子……你们懂的。  ,无,无,无,2020-03-17 13:15,坚果手机 R1,6270,467,730
IyLCr0kSq,在机场过安检，人脸识别摘了一次口罩，识别完旁边的工作人员紧张兮兮地要我赶紧戴上。过安全门时虽然警报器没响，工作人员还是要我再摘一次口罩。我问为什么警报器不响也要摘口罩？答复说担心口罩内有危险物品。我说这是扁平的医用口罩不是隆起的N95口罩，能藏什么东西？而且裤兜比口罩更容易藏东西，为什么不搜身反倒搜口罩？工作人员说不出理由，只重复说要我配合工作。为了不给机场工作和后面的乘客制造麻烦，我当然还是配合了，但感觉这个很不合理，执行的工作人员也说不出它的合理性在哪里，只说是执行规定。这些天出差的整体感觉是，只要近距离范围有人摘口罩，旁边的人就容易显得紧张，包括各种岗位的工作人员。建议除非绝对必要，不要在人多的地方总让人摘口罩，供相关部门参考。                                 ,无,无,无,2020-03-15 22:04,坚果手机 R1,3516,112,657
IyEhI5kZq,评论里屏蔽了“睡”字（因为后半夜各种变体的“老罗，快睡吧”），好，现在测试一下。  ,无,无,无,2020-03-15 03:24,坚果手机 R1,3216,26,1156
IyBvT30mJ,…… 罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/003enNnHgx07BHkQuecw010412008HfK0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1586165424&ssig=CuASH4d0mO&KID=unistore,video",无,2020-03-14 20:20,坚果手机 R1,1977,493,264
IylA2nRqk,当年奥迪的下巴掉下来之后，虽然因为丑出翔引起一片惊呼，但到今天，已经不知道有多少国际汽车大厂的车下巴也跟着掉下来了。美和诚实一样，终究是一个奢侈的存在。  [组图共9张] 原图 ,"http://ww3.sinaimg.cn/large/61c921e5ly1gcrrqly4yoj20hs0dcjta.jpg,http://ww2.sinaimg.cn/large/61c921e5ly1gcrrqmebc5j20fa0a6gml.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gcrrqmu7lgj20go0b4dhb.jpg,http://ww2.sinaimg.cn/large/61c921e5ly1gcrrqnfequj20ri0icadm.jpg,http://ww2.sinaimg.cn/large/61c921e5ly1gcrrqnutmxj20hs0bw0tc.jpg,http://ww1.sinaimg.cn/large/61c921e5ly1gcrrqobfj3j20d609v0tj.jpg,http://ww1.sinaimg.cn/large/61c921e5ly1gcrrqos9rzj20hs0b3t9k.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gcrrqp75m3j20fa0b174p.jpg,http://ww3.sinaimg.cn/large/61c921e5ly1gcrrqpt8v5j20zk0nptbu.jpg",无,无,2020-03-13 03:46,坚果手机 R1,843,76,261
Iylf3B2sS,我过去也夸过小米、华为、一加、oppo、vivo的某款或某些手机，但都是从讨论产品的角度出发，没有任何利益关联，更没有收过钱。如果将来真有了利益关联，我也会公开注明，坦坦荡荡，轰轰烈烈地做一个大花魁，不会假装独客三。你们可能因为自己是偷偷卖的，难免从裤裆缝里看人，但这样效果真的不好……要不是这样暴露，本来别人还以为你们是良家妇女呢。                  原图                             ,http://wx1.sinaimg.cn/large/61c921e5ly1gcrq1y12qpj20u01o34pi.jpg,无,无,2020-03-13 02:55,坚果手机 R1,4219,165,321
IykJ1Dm2R,为什么一开始都是没重视，但后来日本扩散得不严重，欧美那些国家就扩散得那么严重？顺便说一下，日本是花粉季，即使没有疫情也会有高比例人群戴口罩。虽然不能确定，但我始终都怀疑，各国的卫生机构反复强调不用戴口罩，是善意的谎言，也许是因为口罩反正都不够，只能通过这种方式，尝试保证让更需要口罩的人能得到。如果要求大家出门都戴口罩，但口罩很快抢光了会怎么样？这导致了更大的恐慌，又会怎么样？大家除了因此埋怨政府，还能怎样？如果确信需要戴口罩，那买不到口罩的人，不会因此减少出门吗？如果会，这不是宣传要戴口罩的正面效果吗？最后，为什么世界各国的死亡率差异那么巨大？                  原图                             ,http://wx2.sinaimg.cn/large/61c921e5ly1gcro1je2i3j20u01qc4qq.jpg,无,无,2020-03-13 01:36,坚果手机 R1,2534,258,452
IykugrJEM,北京杭州上海，出差这一路下来，到处都是查近日行程和体温的，虽然有些不方便，但也让人感到安全…最大的问题是，几乎所有体温计都不灵，因为经常被测出32度到34度间。负责的会调整一下（不知道调的是啥）再测测别的部位，过了三十五、六才记录，浑一点的直接记32度，我不知道医务专家看了会怎么想。  ,无,无,无,2020-03-13 01:00,坚果手机 R1,2087,295,355
Iykht68np,  原图 ,http://wx1.sinaimg.cn/large/61c921e5ly1gcrlzrigp4j20u023d7hi.jpg,无,无,2020-03-13 00:28,坚果手机 R1,1377,83,422
Iyjoxf2Ru,对了，日本出差的时候，在宜家千叶店特意关注了一下，所有的快捷通道都清清楚楚，一看就是快捷通道，没有像中国的宜家店一样，弄得那么隐蔽，几乎没有人能发现。为什么有这样的差异，目前还没有弄清楚，希望有达人指点。这条下面，如果有过分情绪化或民族主义的评论，我就全xx拉黑了，莫谓……你懂的。  ,无,无,无,2020-03-12 22:13,坚果手机 R1,1800,72,409
Iy7e5a5gu,一路下来，虽然处处都是戒备森严的架势，但南航的机舱，上海的肯德基，城际的专车，杭州的酒店都不提供消毒湿纸巾或免洗消毒洗手液，这还是有点奇怪的。最邪门儿的是机舱，居然提供擦手的湿纸巾，但不是消毒的……  ,无,无,无,2020-03-11 15:14,坚果手机 R1,1219,37,277
Iy6qtlDaT,虹桥机场肯德基，醒目提示大家扫码点餐以减少顾客和服务员接触。这本来很好，但你扫码就会发现它要你注册成为会员。常见的扫码点餐强制关注公众号就够讨厌的了，肯德基点餐还要繁琐地操作好几步，并取验证码注册为会员才能点餐，太恶劣了。套用“发国难财”这种句套子，可以称之为…算了，反正很恶劣。  ,无,无,无,2020-03-11 13:12,坚果手机 R1,6524,175,763
Iy67PFTgR,飞机落地后出去时要扫码登记信息，不知道为什么这东西全国各地都是自己做的，而且都做得很差。几乎所有人都看不懂如何操作，密密麻麻围在“请相互保持一米以上距离”的提示牌前折磨可怜的工作人员。工作人员没什么好气，这在平日的上海不常见，但非常时期可以理解。这会儿还坚守岗位的，都是天使  ,无,无,无,2020-03-11 12:26,坚果手机 R1,1047,45,151
Iy4NrfGr0,这么多年了，北京 T2 航站楼的那个破安检门就没人管管吗？即使全中国的安检门都不响，它也会响，即使把裤腰带、戒指和眼镜都拿掉，它也会响，即使只穿一个T恤衫加无任何金属饰件儿的大裤衩并且大裤衩内都没敢穿内裤，它也会响。为了这个明显是坏了的破门儿，疫情期间每个人都要被迫多摘一次口罩（杠精注意：是非人脸识别的第二次。工作人员说第二次摘口罩，是担心口罩里面藏有武器之类的危险品）因为你就算光屁股它也会响，所以唯一可以被怀疑的就是口罩内了。最滑稽的是我们被迫多摘一次口罩的时候，工作人员又显得很紧张，匆匆看一眼口罩内又催促大家赶紧戴上……强烈建议开除负责 T2 航站楼设备维护的xx。                                 ,无,无,无,2020-03-11 09:03,坚果手机 R1,5114,854,490
IxTBJsFyH,Guns N' Roses 官推新发的图片......  原图 ,http://wx4.sinaimg.cn/large/61c921e5ly1gcoc8kj4u7j20gy0ozac6.jpg,无,无,2020-03-10 04:34,微博 weibo.com,1267,293,173
IxKRx9d8G,我听过的最自以为是的中文口语表达方式是，“这话我可不爱听。” 这话实在是，实在是，实在是，太把自己当回事儿了。我在北方听了几十年了，感受还是像第一次听到那么强烈。  ,无,无,无,2020-03-09 06:18,微博 weibo.com,3212,211,552
IxIendDa8,Gregory Alan Isakov《Liars-Gregory Alan Isakov》 Liars-Gregory Alan Isakov  ,无,无,无,2020-03-08 23:36,微博 weibo.com,276,39,65
IxqhkApi6,Shazam 这软件用了这么多年，现在每次用到还是感觉好得不像真的。这首好歌，是一个毛片预告片的背景音乐（有些美国的毛导太有文化了...），那个预告片看起来倒没什么，但音乐一听就喜欢上了。用 Shazam 查出来后，在这里分享推荐 Will Cookson《Alone in the Dark-Will Cookson》 Alone in the Dark-Will Cookson  ,无,无,无,2020-03-07 01:54,微博 weibo.com,1152,278,224
IxmHqeHsK,“文人相轻”是一个典型的伪概念，文盲也经常相轻，但以前没留下文字或录音而已。  ,无,无,无,2020-03-06 16:47,微博 weibo.com,1310,218,194
IxmEkt3vq,种族歧视沉渣泛起之际，再次推荐索威尔的《美国种族简史》，这本书当年几乎解决了我对种族问题的全部困惑。后来我联合中信在中国再版这本书，十年间，在人民教师龙哥的大力宣传之下，这部当年只印了几千本的冷门学术著作，竟然卖了四十多万本，堪称功德无量。购书到京东、天猫、淘宝搜“美国种族简史”  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/61c921e5ly1gckaqmdq86j20ri4pn483.jpg,http://ww1.sinaimg.cn/large/61c921e5ly1gckaljkcdhj20u013u1kx.jpg,http://ww3.sinaimg.cn/large/61c921e5ly1gckaljhm9dj20fw0m8agn.jpg",无,无,2020-03-06 16:39,微博 weibo.com,1981,2285,428
Ix3l9bVv9,开放二胎后，我还以为计划生育已经取消了，最近都在讨论外国人永居身份问题，才知道生三胎以上还是要管的太奇怪了，按今天不断下降的的生育率，只需要两三代人的时间，中华民族人口数量就会减少一半，很可能会带来难以想象的灾难，为什么还要管三胎呢？生三胎以上的，难道不是英雄母亲吗？……当然，如果禁止生三胎是“我国的一项基本国策”，那当我没说                                 ,无,无,无,2020-03-04 15:30,坚果手机 R1,8801,565,1113
Ix2qx3pMg,节前到东京出差，住在一个民宿，有幸体验了号称“厨卫电器中的劳斯莱斯”的德国 Miele，包括电磁炉、电烤箱、微波炉、洗碗机、洗衣机等几乎全套产品。10来天使用下来，发现跟我心目中的多数德国品牌产品没有什么区别：工业设计一流，价格昂贵，至于功能和体验，跟只有半价的日本同类型产品比，也是垃圾（……好吧，这是我个人的看法）。（现在很多更便宜的中国产品也比德国的名牌产品要好用很多）这“真的很德国”。但日本人还是非常崇洋，所以很多高档商品房的出售或租赁，都以全套的德国厨卫产品作为重要卖点之一。亚洲国家的工业化，现代化，整体上都是跟西方学的，所以对西方的盲目崇拜（当然也有理性的、非盲目的部分），还会持续很多很多年。这是亚洲国家的实业家们，特别是做 to C 产品的，需要长期共同面对的现实问题。                                 ,无,无,无,2020-03-04 13:11,坚果手机 R1,4959,2865,602
